comment_id;comment_text;Sub1_Toxic;Sub2_Engaging;Sub3_FactClaiming;fold
2114;@MEDIUM ich meinte damit das immer wieder suggeriert wird es würde sich was ändern aber letztendlich werden Themen wie dieses nur in Talkshows behandelt viel polarisiert und für die eigentlich betroffenen nichts bei rum kommt.. Geld regiert von wegen Sozialstaat;0;0;1;0
1156;Was ist heute für ein Tag?;0;0;0;0
235;@USER, auf jeden Fall so lange bis du es schaffst mich inhaltlich zu widerlegen. Kleine Hilfe gefällig? http://edas.landtag.sachsen.de/viewer.aspx?dok_nr=16329&dok_art=Drs&leg_per=6&pos_dok&dok_id=253935;0;1;1;0
2466;@USER sorry, dass Thema gibt es nicht erst seit 2013, diese Zustände hat die Regierung zu verantworten und nicht die AfD...wie weiter oben schon geschrieben, ich habe dieses Dilemma in Ost und West, 25 Jahre mit gemacht, also schon Jahrzehnte hat sich da NICHTS geändert...und ob die AfD es besser macht, werden sie zeigen können...;0;1;0;0
140;""" gedacht? Nein, so weit denken grüne Traumtänzer ja nicht! Die denken nur von 12 bis Mittag! "" Ich fall gleich lachend vom Stuhl. Ich verweise mal auf meine Facebooseite ""Neu denken"".";0;1;1;0
2348;Ein Abgeordneter erhält mit Spesen Sitzungsgeld etc etwa 15 000€ Viele davon loggen sich Freitagfrüh mit dem Koffer in der Hand ein um das Sitzungsgeld zu kassieren und um dann gleich die Heimreise anzutreten. Was wird in Zukunft dagegen getan, es sind immerhin die Steuergelder der Bürger der E.U. (Europäischen Union) und anderer Staaten die nur zahlend sind.;1;0;1;0
812;Was du auf die Kette bekommen hast , sieht man auf deinem Profil. Alles gesagt.;1;0;0;0
2189;keiner......;0;0;0;0
2091;Das ist toll, dass ihr die Möglichkeit habt, Eigentum zu schaffen. Um euch geht es bei dem Problem nur nicht. Denn die Mehrheit hat eben keine Möglichkeit, ein Darlehen für ein Eigenheim aufnehmen zu können. Anhand eurer Kommentare ist bereits ersichtlich, dass ihr das Problem gar nicht (be) greifen könnt.;0;1;1;0
1718;Welche Organe sind bei Menschen die das 80 Lebensjahr erreicht haben noch zu gebrauchen?🤣;1;0;0;0
815;@USER aber warscheinlich das einzige Mittel die Gier in den Griff zu bekommen!;0;0;1;0
2183;@USER zumindest versucht er das der Öffentlichkeit glaubhaft zu machen. Es wurde schon bekannt das Trigema nicht immer das Einhält was es verspricht. Die Gehälter sind okay und zur Zeit auf Mindestlohn Niveau aber nicht ordentlich. Dennoch muss man Trigema zugute halten das trotz aller Widrigkeiten in Deutschland produziert wird.;0;0;1;0
363;wo war der Schalter das wird Satz des Abends...;0;0;0;0
2394;@USER ich entschuldige mich für meine Ausdrucksweise, trotzdem denke ich, dass die Menschen die es miterlebt haben, nicht mehr so sorgenfrei die Grünen wählen.;0;1;0;0
2219;@USER -- h ARD !! 🤣;1;0;0;0
2780;@USER wieviel Linke Grüne Schwarze Gelbe usw von der AfD - oh man 🙈🙈Gott laß für ihn Hirn regnen;1;0;0;0
150;Zu dem ähnelt das Menschenbild, was die AfD und Co hat von den Flüchtlingen, Migranten, Muslimen und Ausländern stark dem Menschenbild der NSDAP aus dem 3. Reich.;0;0;1;0
2291;Man hat den schlechtesten Redner der AfD eingeladen, damit man die AfD diffamieren kann. Herrn Reil tut mir Leid als Schaf in der Wolfshöhle. Meuthen, Gauland oder Weidel währe den Scheindemokraten eher gewachsen.;1;1;0;0
2873;"Der renommierte Antisemitismusforscher Dr. Clemens Heni sagt über die Rolle öffentlich-rechtlicher Talkshows zum Aufstieg der AfD folgendes: ""(...) Was haben sie gemacht? Sie haben gedacht, und das war ein unglaublicher Reflex, dass dieser Nazibegriff von der sog. Lügenpresse, den haben sie aufgenommen und haben gedacht, wir müssen die Leute unbedingt ins Studio holen. Die Pegida hat das nicht gemacht, im Wesentlichen, aber die AfD hat das gern gemacht, weil sie gemerkt haben, ja wir sind ja ne Partei, sie wollen ja die Macht, sie wollen ja den O-Ton und zwar fünf Minuten ungeschnitten, und nicht irgendwie eingeordnet von einem Journalisten oder ner Journalistin, reden. Und da hat Anne Will oder Sandra Maischberger, Plasberg und wie sie heißen, denk ich, riesige Fehler gemacht, weil je mehr die auch provoziert haben mit rassistischen oder rechtsextremen Begriffen oder Äußerungen, sie immer wieder eingeladen. Selbst wenn die rausgegangen sind, wie Alice Weidel das gemacht hat, mitunter, hat das nicht geschadet. Am nächsten Tag kamen schon wieder die großen Anstalten ARD ZDF und wollten sie schon wieder haben.(...)"" http://www.clemensheni.net/?s=Plasberg";0;1;1;0
1448;Das Klimaschutzgesetz wird scheitern...;0;0;0;0
193;@USER Der Islam würde erst im 7.Jahrhundert nach Christus von Mohammed begründet ,JESUS könnte kein Moslem sein er war vielleicht Vorher Jude.....vor diese Ihn an die Römer ausgeliefert haben und diese Ihn gekreuzigt haben...;0;0;1;0
2759;@USER Manche böse Zungen sind von der Armlänge abgekommen und meinen nun das eine LKW Länge besser wäre. Zynisch.;1;0;0;0
490;"@USER ""[Wir] haben das Recht, stolz zu sein auf Leistungen deutscher Soldaten in zwei Weltkriegen“. Gauland. Wer hat Deutschland nochmal den größten Schaden in seiner Geschichte beigebracht? Genau diejenigen, auf die der Dackelopa wieder stolz sein will.";1;0;1;0
923;Eine Bekannte von mir sucht eine Wohnung. Sie verbeamtet aus Lebenszeit und er hat einen festen Job! Ratet mal warum sie u. a. keine Wohnung bekommen? Sie haben zwei Kinder! Die 4-Raumwohnungen werden lieber an ein Ehepaar von aufwärts 50 vermietet! Natürlich sind auch Rahmenbedingungen wie Steuern, Makler etc. ein Problem, aber auch viel die Haltung der Mieter! Vielleicht sollte man die Menschen, die wirklich keine Miete bezahlen und alle anderen tyrannisieren besser los werden können als Vermieter, dann klappt es auch mit einer Flexibilität im Denken Vermieter. Makler möchten übrigens auch bezahlt werden 😉;0;1;1;0
2606;"@USER, ""menschlich""..., genau das fehlt den Grünen bis heute!";1;0;0;0
572;"@USER Meistens verläuft das Gespräch so: Woher kommst Du? - aus Hannover Nee, ich meine ""WOHER"" kommst Du? - äh...Hannover Und wo bist Du geboren? - In Hannover Aber heisst Du nicht ""Cem"", wie der Özdemir? - Ja, der kommt auch aus Deutschland. Ist das nicht ein türkischer Name? - Doch, schon, ja. Na dann kommst Du ja doch aus der Türkei und nicht aus Hannover (freu) ... so kann es noch minutenlang weitergehen, und es nervt gewaltig, ist langweilig und als erste Frage übergriffig und nicht grade sehr helle, um nicht zu sagen hirnverbrannt dumm und nicht motivierend, das Gespräch weiterzuführen. Mit jammern hat das ganze rein gar nichts zu tun.";1;1;0;0
2846;@MEDIUM, wenn Sie politikwissenschaftliche Literatur zur extremen Rechten ernstnähmen, dann wüssten Sie auch, dass dieses politische Milieu kein Interesse an Diskurs, sondern dessen Zerstörung zum Ziel hat, und genau deshalb ist es kontraproduktiv, solchen Akteuren eine Plattform zu bieten.;0;1;1;0
1529;Hauptproblem ist die Überbevölkerung der Erde;0;0;0;0
216;""" je nach Rechnung 30-55 Milliarden € pro 1 Millionen Flüchtlinge drauf und wir haben mittlerweile knapp 2 Millionen im Land!"" Hab ich eigentlich schon mal gefragt wie verblödet dieses Volk schon geworden ist? Die Nettokosten sind weit aus geringer. Wie du weißt verschwindet das Geld nicht, sondern fließt wieder in unsere Wirtschaft.Wenn du das Geld wieder haben möchtest, dann muss die Wirtschaft entsprechend besteuert werden. Siehe z.B. die Entwicklung der Körperschaftssteuer in den letzen 3 Jahrzehnten. Zu dem, wie du weißt, steigt durch die Flüchtlinge die Nachfrage an Produkten. Es muss mehr produziert werden, dass wiederum mehr Arbeitsplätze und steigenden Umsatz bedeutet. ""In den letzten Jahren sind die Mieten wegen der zusätzlichen Konkurrenz durch die Flüchtlinge stärker gestiegen als in den Vorjahren, "" Hab ich eigentlich schon mal gefragt wie verblödet dieses Volk geworden ist? Oh ja hab ich schon. Die Anzahl von bezahlbaren Wohnungen hat sich in den letzen 15 Jahren halbiert. Es wird massiv seit 2005 im Bereich des sozialen Wohnungsraums eingespart.";1;1;1;0
2703;@USER hab ich nicht so empfunden. Gerne noch einmal @USER👍✌;0;1;0;0
379;So nun wisst ihr immer noch nicht ob Deutschland eure Heimat ist ...😂😂😂😂;1;0;0;0
2369;"DANKE für Antwort - Noch 2 Bemerkungen: Titanic-Kapitän geht nicht von Bord; Andrea Nahles bleibt - o d e r - SPD wird mit ""alten weißen Männern"" wieder wählbar ( Die jungen Grünen kann die SPD nicht überholen: Bärbock und Habeck sind unübertroffen ""geil"". (Bis heute abend. 👩‍❤️‍👩)";0;1;1;0
2442;@USER Diese 3 Muskel Tiere oder ihre Vorgänger, hatten mehr als genug Zeit ( ~20 Jahre ) etwas zu tun. Denn solange , wahrscheinlich sogar länger, haben wir diese Missstände ! Und nicht nur in der Altenpflege.;1;0;1;0
1946;"@USER Ich persönlich habe ganz einfach eine ganz andere Haltung zum Thema Leben und Tod! Meiner Überzeugung nach leben wir nicht nur ein Leben, sondern mehrere, um unser Bewusstsein erweitern zu können. Das ist eher eine buddhistische Haltung, obwohl ich mir meine eigenen Gedanken gemacht und Erkenntnisse gesammelt habe. Ich gehöre keiner Gruppe oder Religion an. Von daher hänge ich nicht an diesem einen Leben so derart, dass ich meine Prinzipien des ""Du sollst nicht töten oder bewusst Anderen schaden"" einfach so über den Haufen werfe angesichts des Todes und lieber den Tod Anderer verantworte. Da könnte ich nicht mehr in den Spiegel schauen! Wer das kann, der zeigt letztlich damit nur, dass er über Leichen geht, wenn es um das eigene EGO geht. Aber es geht im Leben nicht nur um einen selbst, sondern auch um das, was man FÜR eine Allgemeinheit erbracht hat und welche Bewusstseinserweiterung man ins nächste Leben mitgenommen hat. Rein materiell denkende Menschen nehmen NICHTS mit ins nächste Leben, da deren Bewusstsein sich keinen Schritt nach vorne, sondern eher noch nach hinten bewegt. Und dieses Phänomen haben wir heute gesamtgesellschaftlich. Die Denkweise und Struktur geht wieder Richtung Mittelalter. Plötzlich ist es nicht mehr ehrenwert, von Zivilisation und davon zu sprechen, dass zivil ""ohne Waffen"" bedeutet. Heute sind immer mehr Leute wieder davon überzeugt, dass Gewalt und Krieg als Durchsetzungsmittel wieder völlig in Ordnung ist. Dass rückgängige Bewusstseinsentfaltung auch Demenz genannt wird und Demenz zur Volkskrankheit Nr. 1 geworden ist, zeigt das schon auf. Geistige Entwicklung sieht anders aus. Daher sagte auch Einstein einst: Ich bin nicht sicher, mit welchen Waffen der dritte Weltkrieg ausgetragen wird, aber im vierten Weltkrieg werden sie mit Stöcken und Steinen kämpfen. Albert Einstein, *1879 †1955 wikipedia Physiker Angesichts von Künstlicher Intelligenz und ausgefeilten Atomwaffen, gepaart mit mittelalterlicher Denkweise, eine ziemlich wahrscheinliche Zukunftsvision.";0;1;1;0
1291;Das sagt der Richtige...;1;0;0;0
1413;@USER und nun stelle dir die großen neubauviertel vor. Jeder hat sein Verlängerungskabel aus dem Fenster hängen. Und dann findest du keinen Parkplatz. 🤔;0;0;0;0
2835;Da kommt Merkel aus dem zittern nicht mehr raus;0;0;0;0
2427;@USER wofür stehen denn die Grünen? Und sie ist erst 25 Jahre und sehr übergewichtig. Das hat auch gesundheitliche Aspekte.;0;0;0;0
1613;@USER China ist ja auch in Sachen CO2 Ausstoß ganz weit vorrausichtlich ihr Öko sp.....;1;0;1;0
250;"400 "" Einzelfälle jeden Tag in 🇩🇪 ! Die unzähligen OPFER sind Gisela Zohren völlig EGAL ! ⛔ AKTUELL heute in Augsburg : 🔻🔻🔻🔻🔻🔻🔻🔻🔻 https://m.augsburger-allgemeine.de/augsburg/Mann-schlaegt-am-Hauptbahnhof-wahllos-auf-Passanten-ein-id53498341.html";1;1;1;0
3065;furchtbar für viele daß sich der AFDler so gut gerhalten hat. Diese Partei wächst an der Ignoranz der anderen!!;0;0;0;0
2524;Wir leben in einer globalen Welt ! Wir haben nur diesen einen Planeten ,und wir können nur gemeinsam etwas bewirken, egal was Trump,45. Präsident,gerade tut,...?!;0;0;1;0
2649;@USER, Heuchler wäre das richtige Wort!;0;0;0;0
398;Heimat ist da, wo man sich wohl und geborgen fühlt. Heimat kann das Dorf/Stadt sein, wo man aufgewachsen ist, das Bundesland, Land, Kontinent, oder die ganze Welt. Jeder definiert es anders. Heimat kann aber auch ein fremder Ort sein. Wenn ich mich in einem anderem Land, Stadt.... wohler fühle, als in der alten Heimat, wo man aufgewachsen ist, kann man auch dort beheimatet sein, somit kann jeder überall beheimatet sein. Es gibt Leute, die Veränderungen der Heimat als Bedrohung ansehen und Angst haben. Angst vor dem Fremden, Angst vor Veränderung, Angst etwas zu verlieren und deswegen darf die Identität eines Landes nie verloren gehen. Das Zauberwort heißt Empathie und Vernunft und das allen Seiten gegenüber, nicht nur der eigenen Meinung. Ich persönlich finde alle extremen Seiten schrecklich und untragbar, weil man mit denen nicht diskutieren kann.;0;1;1;0
761;Stefano Heitmann stimmt das? Omg;0;0;0;0
1175;alt gegen jung Männer gegen Frauen Fleischesser gegen Veganer,..das ist Deutschland 2019;0;0;0;0
151;Natürlich hörst du mir nicht zu. Und deswegen werden seit Jahren immer wieder die gleichen neoliberal-kapitalistischen Parteien CDU, CSU, FDP, SPD und AfD gewählt. Die Grünen sind leider nicht vertrauenswürdig auf Grund ihrer Agenda 2010 Politik und ihrer Befürwortung des völkerrechtswidrigen Krieges im Kosovo. Das Ergebnis dieser neoliberal-kapitalistischen Politik ist, dass die Armutsquote im letzten Jahr von 16% auf 16,8% gestiegen ist. Und wie asozial die Parteien sind, insbesondere auch die AfD, hat man heute bei den Reden gesehen zum Antrag der LINKEN die Armut in Deutschland zu bekämpfen.;1;1;1;0
952;@USER Was glauben sie denn wer die Verkäufer Provision bezahlt wenn sie ein Auto kaufen? 🤦🏼‍♀️;1;0;1;0
2407;@MEDIUM Ihr machen doch Fernsehen und nicht Radio oder? (wenngleich ich manche Sendung wirklich nur per Kopfhörer verfolgt habe, aber dass spielt jetzt keine Rolle) Fakt ist, dass ist eine professionelle Politikerin die sicherlich, wie jeder andere Politiker (insbesondere die überregionalen) auf ihre Wirkung achtet (unterstell ich mal) und von daher diesen mitleidsvollen Blick vermutlich absichtlich macht. Und nichts anderes stelle ich zur Frage. Politiker bestehen eben NICHT nur aus Inhalten sondern eben aus der Person, Sympathien, dessen Lebenswandel, Hintergrund usw. Dessen seid ihr euch aber auch bewusst.;0;1;1;0
1937;"@MEDIUM Für Sie schwer überprüfbar? Meinen Sie nicht ernst, oder? Was ist an der Seite ""ScienceFiles Kritische Sozialwissenschaften"" schwer überprüfbar?";0;0;0;0
223;"Und die Waffen die wir dagegen haben sind Herz und Hirn. ""Vor Klugheit und Wissen kommt Toleranz und Güte!""";0;0;0;0
2809;"@USER Welcher von ihnen beschriebene ""Hass"" wo sehen Sie den";0;0;0;0
1714;@USER Wenn ich körperlich nicht in der Lage bin eine Unterschrift zu leisten, werde ich sehr wohl gezwungen. Eine mündliche Äusserung zählt nämlich nicht. Schwerstbehinderte zum Beispiel.;0;0;1;0
1823;@USER niemand bestimmt über meinen Kopf ,aus Protest schon nicht .;0;0;0;0
2402;@USER die ist mehr als ätzend;1;0;0;0
2277;keiner von den Leuten hat ahnung vom Islam;1;0;1;0
166;Kommentare zu diesen #TATSACHEN und #FAKTEN werden NICHT gelesen ! ⛔ werden IGNORIERT ! ⚠ an die #LINKS - #FASCHISTEN : SPART euch eure #HASS - #HETZ - Kommentare ! ⚠;1;0;0;0
1945;@USER Es geht darum, dass man nicht der Organmafia Tür und Tor öffnen und sie legalisieren sollte! Es geht um eine gesellschaftliche, ethische Frage. Wenn der Mafia erstmal Tür und Tor geöffnet wurden, dann fragt Dich keiner mehr nach einem Widerspruch! Dann interessiert das einfach keinen. Die wollen dann einfach nur schnelles Geld verdienen! Dann wurde der Widerspruch einfach nicht gesehen oder ist nicht existent! Fertig! Hier geht es um eine lukrative Einkommensquelle und wachsende hochkriminelle Strukturen, die mit einer Legalisierung des Tötens von noch lebenden Menschen verbunden sind!;1;1;0;0
1018;FDP ist nur ein Lachverein. Der Ober sagt der Staat müsse schlank werden uns dann kommt von einem Problem zum anderen ein Bürokratiemonster. Wie Mieten-TÜV. 😂😂🙈 Gerade Deutsche Annington/Vonovia setzt Mieter durch unnötige Renovierung vor die Tür. Aber Lobby FDP sieht dass anders. Nichts neues.;0;0;1;0
1376;Ganz ehrlich: ich habe schon so oft den Weltuntergang erlebt, dieses eine Mal zusätzlich macht es auch nicht schlimmer. Mir tun nur diese verdrehten Kinder leid.;1;1;0;0
1128;@USER habe keine Frage gestellt, war eine Feststellung🤣;0;0;1;0
782;Selbst bei uns in unserem kleinen Kreisstädtchen mit 30.000 Einwohnern schießen die Mieten durch die Decke.;0;1;1;0
2342;@USER Mein Reden!;0;0;0;0
573;@USER Aus gutem Grund ist die AfDerpartei um Faschist Landolf Ladig, aka Bernd Höcke abzulehnen.;0;0;0;0
1749;"Man muss nur das richtige Framing benutzen "" das gute Organspenden- Zwangs Gesetz"" dann klappt es auch.";1;0;0;0
251;"@MEDIUM : es geht um HEIMAT ! ⚠ das ist das Thema ! ⚠ WARUM ❓❓❓verschweigt und vertuscht ihr alle die HUNDERTEN ""Einzelfälle"" jeden Tag in 🇩🇪 , wo Menschen aus anderen Ländern bei uns eine neue #HEIMAT ! ⚠ suchen - und wie diese sich in ihrer neuen HEIMAT benehmen ❓❓❓ ( und : NEIN ! ⛔ - NICHT ALLE ! ⚠ sind damit gemeint ! ) ⚠";1;0;1;0
648;Immer wieder die gleichen Themen. War doch grad auch Thema bei Maischi.Ändert sich eh nix.;0;0;0;0
259;Bei über 60% aus fremder Herkunft hat sich Deutschland schon abgeschafft. 😡;0;0;1;0
2960;Wer jammert hier .sehe nur die vier wo jammern.;0;0;0;0
1757;@MEDIUM sie werden es ja an den Einschaltquoten sehen und an den Kommentaren.;0;0;0;0
916;Weil Barley klar eine private Rechnung mit einem Makler offen hat.;1;0;1;0
999;Frau Redler leistet ja tolle Arbeit: https://www.bz-berlin.de/berlin/kolumne/so-verhindert-rot-rot-gruen-ganz-aktiv-den-wohnungsbau-in-berlin?fbclid=IwAR0YlENHpg3gtEvIGViZueghHqEo4_zIDGXrrDQNhA4YF34JKWgVCRQmk00;0;1;1;0
2362;@MEDIUM wo steht denn was ich gewählt habe,es geht mir um freie Meinung;0;0;0;0
79;"Die ""Sozialpolitik"" der SPD ist asozial. Und nicht dass sich jemand noch Hoffnung macht, die ""Sozialpolitik"" der CDU, CSU, FDP, und AFD ist noch asozialer. Die Politik der Grünen ist auch nicht besser. Bleibt nur noch DIE LINKE als einzige Partei übrig, die sich für die Menschen einsetzt.";1;0;0;0
2459;Dieses gelabere ist nicht auszuhalten. Der SPD gehts jetzt nur noch um ihre Posten !;0;0;0;0
1297;Viel Sympathie und Geld vor LEBEN!!!!;1;0;0;0
1085;Interessiert mich nicht mehr bin bereits raus;0;0;0;0
1300;Die SPD hat eben scheiss Personal.;1;0;0;0
2711;Besser kann man das nicht ausdrücken! 😊;0;1;0;0
2517;Deutschland;0;0;0;0
1540;Und wie ist der Lanz zu den Inuit hingekommen? Hat er mit seinem Flug oder Kreuzfahrtschiff (ich weiß es nicht) nicht auch dazu beigetragen, dass das Eis schmilzt?;0;0;0;0
233;@USER, BILD als Quelle ... So so ...;1;0;0;0
598;Sehr interessant diese Gästeauswahl, da Diskutieren 2 arabische und 2 linke Gäste was deutsche Heimat ist... findet den Fehler;0;0;1;0
2655;@USER  Na dann mal los, was hält Sie auf?;0;0;0;0
3150;Liebe @USER..die AFD ist das Ergebnis falsch verstandener Toleranz.. und nicht das Ergebnis der Öffentlich Rechtlichen..die eh sehr selten politisch Andersdenkende einladen. Druck erzeugt Gegendruck..ein physikalisches Gesetz;0;1;1;0
1050;@USER schau dir sein Profil an. Das sagt schlichtweg alles.;0;0;0;0
2756;Für diesen Kommentar könnte Sie Frau Mihalic als Polizistin verhaften :-);0;0;1;0
1188;In der Regel bleibt derjenige daheim, der weniger verdient. Von den Einkommen der beiden wurde nicht gesprochen, ist wahrscheinlich auch egal, da sie beide wohl zu den Spitzenverdienern gehören. Dafür noch einen Preis zu kriegen, ist lächerlich.;0;1;0;0
811;Anscheinend geht es nicht anders um der Profitgier einen Riegel vorzuschieben. Das gefällt hier einigen nicht. Aber wenn der Ottonormalverbraucher sich keine Wohnung mehr leisten kann , muss was passieren.;0;1;1;0
1396;"...dann hab ich nan Tip für Dich, Luisa Neubauer: Geh weiter zur Schule, mach Deinen Abschluss und lerne nen Beruf oder studiere etwas, wodurch Du was bewegen kannst ;)";1;0;0;0
1645;Frau Schulze kann individuell CO2 vermeiden in dem sie die Luft anhält;1;0;0;0
1649;Hochhaus, 24 Parteien, alle hängen ihren eigenen Kabel über den Balkon , ups , Morgens ist das ganze Kupfer weg. Totaler Blödsinn ist das alles.;1;0;0;0
2813;@USER von was??;0;0;0;0
2742;Nun ja, diese Aufgeregtheit in den Untiefen der Extremismustheorie und den damit verbundenen autoritären Charakteren haben Lipset, Adorno und auch Fromm bereits vor vielen Jahrzehnten eindrücklich beschrieben.;0;0;1;0
706;Schatzi, die steigenden Mieten, Kaufpreise in Ballungsräumen ist nicht erst seit 2015 entstanden. Ich habe hier in Frankfurt auch DREI Jahre gesucht, also von 2009 - 2012. Und was machst du jetzt? Und ich habe einige Wohnungen angesehen, nicht nur in Frankfurt, mit und ohne Makler, da waren durchaus adäquate Wohnungen dabei, aber die Preise und/oder die Lage waren eher nichts. Jetzt habe ich eine prima Lage, eine bezahlbare Miete, im Nachbarhaus (Neubau) kostet eine Wohnung in vergleichbarer Größe 15-18 €/m² kalt. Gut, die haben die Technik auf aktuellem Stand, aber ich habe dafür 9,47 €/m² kalt. Dafür habe ich die Maklerin, keine Massenbesichtigung, gerne bezahlt. Des Weiteren konnte ich diese Kosten, da beruflich bedingt (Verkürzung der täglichen einfachen Fahrt zur Arbeit) und die Umzugskosten bei meiner Steuererklärung geltend machen. Kann übrigens jeder machen, wenn die Voraussetzungen gegeben sind.;1;1;1;0
428;@USER Was habe ich mit dem Faschisten Erdogan zu tun? Und Dein Beileid kannst Du Dir hinschieben, wo die Sonne nie scheint.;1;0;0;0
504;@USER Deutsch lernen wäre mal ein Anfang für alle Integrationsunwilligen. #hogesa;0;0;1;0
789;"@MEDIUM Es geht hier um Enteignung......in welchem Land leben wir - sorry! Liebes @MEDIUM Team, falls es in euren Recherchen noch nicht vorhanden ist, schaut euch bitte einmal die Folgen ""Der Anstalt"" dazu an. Danke!";0;1;1;0
56;Also eine gleiche Rente für alle? Wie wäre es mit einem BGE von 1.200 Euro und wer mehr haben möchte, der muss arbeiten gehen und oder einen Teil des Geldes, was er durch Arbeit verdient hat zur Seite legen.;0;1;0;0
1634;@USER ..ob du möchtest oder nicht...wirst es mit der Zeit müssen.;0;0;0;0
1006;@MEDIUM die Kritik ist in dem Fall auch total daneben. Ich bezweifle dass die Sendung angeschaut wurde.;0;0;0;0
2205;Das wird lustig. Intelligent gegen doof.;1;0;0;0
1628;@MEDIUM Und was wird dagegen getan? Nachweisbar! Und wie sieht die Entsorgung der verbrauchten oder beschädigten Batterien aus? Wenn , wie gewollt, alle Elektroautos fahren. Schon Endlager für die Batterien in Sicht? Deutschland sollte innovative und Vorreiter sein aber was ist mit den Ländern um uns herum? Wenn sich unsere Nachbarn weigern , mehr Zeit lassen , auf andere Alternativen setzen. Ich wohne im Grenzgebiet zu Frankreich. Heute fahre ich noch über die Grenze. Morgen mit Elektroauto muss ich erst mal nachschauen wo evt. Überhaupt eine Ladestation finde. Was ist mit den Schwellenländern ? Milliarden von Menschen die froh sind ihr täglich Brot zu bekommen. Die den Wohlstand jetzt erst bekommen. Die sollen jetzt Tesla fahren. Mich würde auch mal interessieren wie Städte und Gemeinden ihre Fahrzeuge meistens Dieselfahrzeuge aus den 80/90er Jahren umrüsten wollen. Feuerwehren , THW. Polizei. Etc. Dürfen die im übrigen in Stuttgart fahren? Feinstaub, eine Farce. In dieser Welt stimmt nur eins nicht, die gerechte Verteilung . Das fängt mit Wasser an und hört mit Steuern auf. Salopp gesprochen.;0;1;1;0
3012;Antifaschismus bildet die Grundlage unserer Demokratie, und als Politikwissenschaftler kann ich das ganz gut einschätzen mit Blick auf unsere Verfassung. Scheinbar sind Sie aber nicht in der Lage, Ihre Behauptungen argumentativ zu untermauern.;1;0;1;0
685;Links - #FASCHIST und #HETZER @USER : Auch Sie deutschen - feindliche Kreatur werden #BÜRGE ! ⚠ auch SIE HAFTEN und ZAHLEN für IHRE Gäste ! ⚠ und Tschüss ! ⚠;1;0;0;0
2387;@MEDIUM ???????????;0;0;0;0
542;Manche trauen sich auch nicht;0;0;1;0
1818;Umsonst ist nicht mal der Tod;0;0;1;0
2755;Es wurden übrigens bis heute die Täter nicht geschnappt, die Uwe Junge verprügelt haben sollen. Würde mich nicht wundern, wenn das eine Inszenierung war.;0;0;1;0
1580;Man liest und hört immer nur wir wir wir, fährt man über die Grenze oder schaut über den Teich, sieht man wie Klimaschutz mit den Füßen getreten wird.... Warum müssen wir immer Mutter Theresa der Welt spielen?;0;0;1;0
808;@USER ja, es ist chic geworden Linksextremisten zu hofieren. Und @MODERATOR und Konsorten weiß das. Die sind nicht naiv.;0;1;0;0
